group,function,value,sample_time_nanos,iteration_count
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,77079638.0,77
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,155716371.0,154
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,234816703.0,231
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,312841052.0,308
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,390353832.0,385
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,468459843.0,462
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,547724050.0,539
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,624455061.0,616
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,702304973.0,693
[940c17e] Louds(N)::index_to_node_num() 10000 times,,2048,781645717.0,770
