group,function,value,sample_time_nanos,iteration_count
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,70771195.0,70
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,142042336.0,140
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,212552430.0,210
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,284752408.0,280
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,354150514.0,350
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,427016695.0,420
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,498248691.0,490
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,566011530.0,560
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,639806833.0,630
[940c17e] Louds(N)::index_to_node_num() 10000 times,,4096,709668490.0,700
