group,function,value,sample_time_nanos,iteration_count
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,84769248.0,30
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,169202296.0,60
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,256296429.0,90
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,336705975.0,120
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,409750918.0,150
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,493974315.0,180
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,579355571.0,210
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,644074791.0,240
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,737937217.0,270
"[940c17e] Louds::from::<&str>(""...(bin tree of N nodes)"") 10 times",,8192,826512826.0,300
